surface,site,reaction energy (eV),reaction energy difference (eV),absolute reaction energy difference (eV)
Nb6Re6,top|A,5.167315943,1.057242808,1.057242808
Ir6Os6,bridge|B_B|A,3.051122267,-1.058950868,1.058950868
Cr6Zn6,hollow|A_B_B|HCP,3.047267366,-1.062805769,1.062805769
W6Zn6,hollow|A_B_B|HCP,3.046307621,-1.063765514,1.063765514
Pt6Ta6,hollow|A_A_B|FCC,3.042714358,-1.067358777,1.067358777
Re6Zn6,hollow|A_B_B|FCC,3.041640188,-1.068432947,1.068432947
Cu6Pd6,top|B,5.179315075,1.06924194,1.06924194
Cu6Ru6,hollow|A_A_B|FCC,3.038441354,-1.071631781,1.071631781
Cu6Fe6,hollow|A_A_B|HCP,3.037377661,-1.072695474,1.072695474
Re6Zn6,hollow|A_B_B|HCP,3.037202828,-1.072870307,1.072870307
Ag6Cu6,hollow|A_A_B|HCP,5.193137914,1.083064779,1.083064779
Ir6Sc6,hollow-tilt|A_B_B|FCC,3.021070967,-1.089002168,1.089002168
Nb6Pd6,hollow|A_B_B|FCC,3.019686724,-1.090386411,1.090386411
Co6Pd6,hollow|A_B_B|FCC,3.013753146,-1.096319989,1.096319989
Ag6Y6,hollow|A_B_B|FCC,3.006130829,-1.103942306,1.103942306
Au6W6,hollow|A_A_B|FCC,3.005873137,-1.104199998,1.104199998
Cu6Fe6,hollow|A_A_B|FCC,3.005813952,-1.104259183,1.104259183
Pt6Ta6,hollow|A_A_B|HCP,3.00340248,-1.106670655,1.106670655
Pd6Sc6,hollow|A_B_B|FCC,3.00267131,-1.107401825,1.107401825
Au6Tc6,bridge|B_B|A,2.999451115,-1.11062202,1.11062202
Cu6W6,bridge|A_A|B,2.997486317,-1.112586818,1.112586818
Ru6Sc6,4fold|A_A_B_B,2.99716359,-1.112909545,1.112909545
Mo6Zn6,hollow|A_B_B|FCC,2.996337724,-1.113735411,1.113735411
Ni6Zn6,bridge|A_A|B,2.996302349,-1.113770786,1.113770786
Au6Sc6,bridge|B_B|A,2.992041999,-1.118031136,1.118031136
Hg6Pd6,hollow|A_A_B|FCC,5.231124598,1.121051463,1.121051463
Y6Zn6,bridge|A_A|B,2.987824234,-1.122248901,1.122248901
Pd6Ta6,hollow|A_A_B|HCP,2.984058451,-1.126014684,1.126014684
Cu6Os6,hollow|A_A_B|HCP,2.981374864,-1.128698271,1.128698271
Fe6Pd6,hollow|A_B_B|HCP,2.980894992,-1.129178143,1.129178143
Au6Mo6,hollow|A_A_B|FCC,2.978262698,-1.131810437,1.131810437
Cu6Tc6,hollow|A_A_B|HCP,2.971701217,-1.138371918,1.138371918
La6Rh6,hollow-tilt|A_A_B|FCC,2.970730995,-1.13934214,1.13934214
W6Zn6,hollow|A_B_B|FCC,2.964481357,-1.145591778,1.145591778
Ag6Tc6,hollow-tilt|A_A_B|FCC,2.964223665,-1.14584947,1.14584947
Ag6W6,hollow|A_A_B|FCC,2.9551669,-1.154906235,1.154906235
Nb6Pt6,hollow|A_B_B|FCC,2.952963731,-1.157109404,1.157109404
Pd6V6,hollow|A_A_B|FCC,2.945752714,-1.164320421,1.164320421
Cr6Zn6,hollow|A_B_B|FCC,2.945488763,-1.164584372,1.164584372
Fe6Hf6,top|A,2.945397469,-1.164675666,1.164675666
Fe6Zr6,4fold|A_A_B_B,2.942794156,-1.167278979,1.167278979
Hg6Pd6,hollow|A_A_B|HCP,5.27775076,1.167677625,1.167677625
Mn6Rh6,4fold|A_A_B_B,2.937726308,-1.172346827,1.172346827
La6Zn6,hollow|A_A_B|FCC,2.93402692,-1.176046215,1.176046215
Cu6Ir6,hollow|A_A_B|HCP,2.925757925,-1.18431521,1.18431521
Hg6Sc6,hollow|A_B_B|HCP,2.919639173,-1.190433962,1.190433962
Ag6Mo6,hollow|A_A_B|FCC,2.919558491,-1.190514644,1.190514644
Ag6Mo6,hollow-tilt|A_A_B|FCC,2.91946298,-1.190610155,1.190610155
V6Zn6,hollow|A_B_B|FCC,2.919433455,-1.19063968,1.19063968
Fe6Pt6,hollow|A_B_B|FCC,2.918515887,-1.191557248,1.191557248
La6Pd6,hollow|A_A_B|FCC,2.918400511,-1.191672624,1.191672624
Os6Zn6,hollow|A_B_B|HCP,2.911781342,-1.198291793,1.198291793
Co6Pd6,top|B,5.31787068,1.207797545,1.207797545
Au6Tc6,hollow|A_B_B|HCP,2.898255651,-1.211817484,1.211817484
Mn6Zr6,top|B,5.331336913,1.221263778,1.221263778
Pd6W6,hollow|A_A_B|FCC,2.888440233,-1.221632902,1.221632902
Au6Cd6,hollow|A_B_B|HCP,5.336980418,1.226907283,1.226907283
Pt6V6,hollow|A_A_B|FCC,2.880188109,-1.229885026,1.229885026
Au6Sc6,hollow|A_B_B|FCC,2.868203807,-1.241869328,1.241869328
Ag6Re6,hollow-tilt|A_A_B|FCC,2.865587569,-1.244485566,1.244485566
Ir6Y6,hollow-tilt|A_B_B|FCC,2.864505372,-1.245567763,1.245567763
Co6Pd6,hollow|A_B_B|HCP,2.863291744,-1.246781391,1.246781391
Pt6W6,hollow|A_A_B|FCC,2.860552919,-1.249520216,1.249520216
Ag6Y6,bridge|B_B|A,2.860196858,-1.249876277,1.249876277
Nb6Pd6,hollow|A_B_B|HCP,2.85980515,-1.250267985,1.250267985
Ni6Pd6,hollow|A_B_B|FCC,2.858545943,-1.251527192,1.251527192
Cd12,hollow|A_A_A|HCP,5.363709208,1.253636073,1.253636073
Au6Fe6,bridge|B_B|A,2.855930113,-1.254143022,1.254143022
Sc6Zn6,hollow|A_A_B|HCP,2.853478775,-1.25659436,1.25659436
Nb6Pt6,hollow|A_B_B|HCP,2.85338925,-1.256683885,1.256683885
Cu6Re6,hollow|A_A_B|HCP,2.847817991,-1.262255144,1.262255144
Cd6La6,hollow|A_B_B|HCP,2.837542564,-1.272530571,1.272530571
Ru6Zr6,4fold|A_A_B_B,2.827552313,-1.282520822,1.282520822
Co6Pt6,hollow|A_B_B|FCC,2.822549772,-1.287523363,1.287523363
Cu6Y6,hollow|A_B_B|FCC,2.82189112,-1.288182015,1.288182015
Os6Zr6,4fold|A_A_B_B,2.815842846,-1.294230289,1.294230289
Mn6Zr6,top|A,2.81422785,-1.295845285,1.295845285
Cu6Mo6,hollow|A_A_B|HCP,2.813355726,-1.296717409,1.296717409
Pd6V6,hollow|A_A_B|HCP,2.811728349,-1.298344786,1.298344786
Ag6La6,hollow|A_B_B|FCC,2.805203603,-1.304869532,1.304869532
Hf6Os6,top|B,2.804761146,-1.305311989,1.305311989
Cu6Mn6,bridge|B_B|A,2.804755296,-1.305317839,1.305317839
Fe6Pt6,hollow|A_A_B|HCP,2.804689988,-1.305383147,1.305383147
Ag6Au6,hollow|A_A_B|FCC,5.41603289,1.305959755,1.305959755
Cu6Pd6,4fold|A_A_B_B,2.796323032,-1.313750103,1.313750103
Cu6W6,hollow|A_A_B|HCP,2.768801166,-1.341271969,1.341271969
