surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta
Au6Pd6,398.445,9.385,2.30794980602443,8.63307733333333,1.14421,378.633333333333,-1.928386048,1.581985374,0.951518064,11.87,5.49402366,3,7.5,10.3228011545637,2.020223343,hollow|A_B_B|HCP,1
Au6Pd6,398.445,9.385,2.30794980602443,8.63307733333333,1.14421,378.633333333333,-1.92841096,1.581968148,0.951519695,11.87,5.49402366,3,6.95454545454545,10.3228011545637,1.870309979,hollow|A_B_B|FCC,1
Au6Pt6,400.12,9.65,2.45019562508477,9.136646,2.24842,398.333333333333,-2.612607692,1.687598606,0.951770276,9.496,5.729870974,3,7.5,10.6560223676661,2.422497122,hollow|A_A_B|HCP,1
Au6Pt6,400.12,9.65,2.45019562508477,9.136646,2.24842,398.333333333333,-2.612593098,1.68762955,0.951768179,9.496,5.729870974,3,6.95454545454545,10.6560223676661,2.106341659,hollow|A_A_B|FCC,1
Au6Pt6,400.12,9.65,2.36356637841912,9.047738,2.18821,454.166666666667,-2.184600858,1.764520137,0.932029548,9.496,5.729870974,3,7.5,10.3228011545637,1.774545364,hollow|A_B_B|HCP,1
Au6Pt6,400.12,9.65,2.36356637841912,9.047738,2.18821,454.166666666667,-2.184613883,1.764525406,0.932030068,9.496,5.729870974,3,6.95454545454545,10.3228011545637,1.678456389,hollow|A_B_B|FCC,1
Au6Re6,341.96,9.535,1.9,7.83352,0.15,738,-1.036553448,4.304074834,0.625255124,16.22,5.412226415,1,7.5,7,0.619271912,top|B,1
Au6Rh6,394.08,9.245,2.45019562508477,8.63666933333333,1.91808666666667,400.566666666667,-2.590779975,2.338655388,0.924408419,25.29,5.48930223,3,6.95454545454545,10.2882764781018,1.866344328,hollow|A_A_B|FCC,1
Au6Rh6,394.08,9.245,2.36356637841912,8.04778466666667,1.52754333333333,458.633333333333,-1.926311391,2.373991202,0.875994656,25.29,5.48930223,3,6.95454545454545,9.62260298998748,0.866565159,hollow|A_B_B|FCC,1
Au6Rh6,394.08,9.245,2.45019562508477,8.63666933333333,1.91808666666667,400.566666666667,-2.590850382,2.338659693,0.92441109,25.29,5.48930223,3,7.5,10.2882764781018,1.81761391,hollow-tilt|A_A_B|HCP,1
Au6Ru6,339.205,9.19,2.2,7.3605,1.05,605.7,-1.436720086,3.176271663,0.708547589,12.3,5.259663251,1,7.5,8,1.649569737,top|B,1
Au6Ru6,339.205,9.19,2.2,7.3605,1.05,605.7,-1.436720086,3.176271663,0.708547589,12.3,5.259663251,1,7.5,8,1.649216261,top-tilt|B,1
Au6Sc6,369.36,12.605,1.36,6.56149,0.188,334,-0.100357983,2.237455983,0.282256128,6.881,3.870282595,2,7.33,3,-2.668980694,bridge|B_B|A,1
Au6Sc6,369.36,12.605,2.06253873695228,8.33753266666667,1.60175333333333,339.666666666667,-3.555664793,2.63829696,0.825556073,6.881,3.870282595,3,6.95454545454545,7.13349248972831,-0.550737049,hollow-tilt|A_A_B|FCC,1
Au6Ta6,368.975,10.53,1.5,7.549571,0.322,771,0.091555883,4.285957672,0.414798176,7.511,4.869834068,1,7.5,5,-1.215210743,top|B,1
