Valence Electrons,reaction energy (eV)
8.666666667,-0.3470012
10,-0.294702008
10,-0.23749089
10,-0.211927972
10,-0.174472182
10,-0.284464542
10,-0.226913417
10,-0.200528171
7,-0.527306142
7,-0.527306142
7,-0.527306142
9,-0.363628036
9,-0.363628036
9,-0.363628036
9,-0.342465742
9,-0.342465742
9,-0.342465742
8,-0.518803129
8,-0.518803129
8,-0.518803129
8,-0.497709545
8,-0.497709545
8,-0.497709545
9.666666667,-0.281586394
9.666666667,-0.281586394
9.666666667,-0.281586394
9.666666667,-0.274953891
9.666666667,-0.274953891
9.666666667,-0.274953891
9.333333333,-0.291948216
9.333333333,-0.291948216
9.333333333,-0.291948216
10,-0.152569331
10,-0.152569331
10,-0.152569331
9.333333333,-0.31762964
9.333333333,-0.31762964
9.333333333,-0.31762964
9.333333333,-0.268853371
9.333333333,-0.268853371
9.333333333,-0.268853371
8.666666667,-0.338296686
8.666666667,-0.338296686
8.666666667,-0.338296686
8.666666667,-0.393148986
8.666666667,-0.393148986
8.666666667,-0.393148986
8.333333333,-0.431187371
8.333333333,-0.485639799
6.666666667,-0.753370292
6.666666667,-0.656673551
10,-0.615999607
8.666666667,-0.391042416
8.666666667,-0.400917428
7.333333333,-0.643171534
7.333333333,-0.584647739
10,-0.404760083
3,-0.404229869
5.333333333,-0.589655314
10,-0.347882713
11.33333333,-0.020800654
