Valence Electrons,Adsorption Energy (eV)
9.333333333,2.369922824
9.333333333,2.660063524
8.666666667,1.653115652
8.666666667,1.810369287
10,2.329251873
10,2.744544122
10,2.858545943
10,2.54624089
10,2.474614541
10,2.34829508
10,2.521826292
9,2.241178556
9,2.241178556
9,2.241178556
9,2.397028083
9,2.397028083
9,2.397028083
8,1.50928961
8,1.50928961
8,1.50928961
8,1.750169406
8,1.750169406
8,1.750169406
9.666666667,2.283616477
9.666666667,2.283616477
9.666666667,2.283616477
9.666666667,2.429636573
9.666666667,2.429636573
9.666666667,2.429636573
9.333333333,1.966217318
9.333333333,1.966217318
9.333333333,1.966217318
9.333333333,2.141450466
9.333333333,2.141450466
9.333333333,2.141450466
9.333333333,2.233417325
9.333333333,2.233417325
9.333333333,2.233417325
9.333333333,2.473828405
9.333333333,2.473828405
9.333333333,2.473828405
8.666666667,1.750000015
8.666666667,1.750000015
8.666666667,1.750000015
8.666666667,1.960218976
8.666666667,1.960218976
8.666666667,1.960218976
6.666666667,1.921188192
6.666666667,1.794784647
10,2.336466291
8.666666667,2.34649736
7.333333333,1.772626553
7.333333333,1.777381062
10,1.619419931
5.333333333,2.734937143
10,2.996302349
11.33333333,4.152801946
10,0.83620052
6,1.89170561
8,3.698386258
8,1.677095004
8,2.301708782
8.666666667,1.443342685
8.666666667,1.605499268
9.333333333,2.463374743
9.333333333,2.68558304
8.666666667,1.480621193
8.666666667,1.735675807
9.333333333,2.449461018
9.333333333,2.654296207
7.666666667,1.329677606
7.666666667,1.959217597
7.333333333,1.791174785
8.333333333,1.534519325
8.333333333,1.89885853
8.666666667,2.206019271
8.666666667,2.649555576
8,1.53167111
8,2.085094058
8,1.75613142
8,2.385292222
8,0.387308606
4.666666667,1.911372501
8,1.998363214
7,2.163391277
6,1.653146537
7.666666667,1.258727868
7.666666667,1.81844304
7.333333333,1.435521862
7.333333333,1.898540021
8,1.109903639
5.333333333,2.189637201
6,2.036563099
6,1.684340579
6.5,1.62357062
6,2.143869695
7.333333333,1.241308092
7.333333333,1.484951885
6.666666667,1.53197438
6.666666667,1.562287998
8,0.177241485
4.666666667,1.609488729
8,2.085834752
10.66666667,2.911781342
10.66666667,3.388853093
8,2.71308232
4,6.235454463
8,1.090861793
5.333333333,2.110743236
6,2.815842846
10,4.826180566
10,2.504732645
10,2.559051602
10,3.9912949
10,2.526313314
10,2.46529818
10,2.063205493
10,2.158498943
7,1.574993674
9,2.467598494
9,2.582977347
8,1.353990841
9.666666667,2.333231674
9.666666667,2.490487214
9.333333333,1.745640616
9.333333333,1.899525753
9.333333333,2.386198361
9.333333333,2.568014079
8.666666667,1.585551146
8.666666667,1.783190965
5.333333333,3.00267131
6.5,2.450516276
8.333333333,2.984058451
8.333333333,3.086304001
6.666666667,1.878734896
6.666666667,1.830893065
9,2.395683705
9,2.51680171
8,1.531184026
8,1.79084852
8,3.197928091
8,3.282302837
6,2.069315945
8.333333333,2.811728349
8.333333333,2.945752714
6.666666667,1.962221734
6.666666667,1.923490275
8.666666667,2.650589064
8.666666667,2.888440233
7.333333333,1.610850114
7.333333333,1.685060592
3,3.385044723
5.333333333,3.156969244
6.5,2.475809257
10,4.590125348
10.66666667,4.518392875
10.66666667,4.530551329
6,1.96619514
7,1.933521479
10,4.140889346
10,2.306027909
10,2.222465831
9,2.537877199
9,2.694124421
8,1.509700638
8,1.81061487
9.666666667,2.093367135
9.666666667,2.271734355
9.333333333,1.893514623
9.333333333,1.992703926
9.333333333,2.307262218
9.333333333,2.53481483
8.666666667,1.704283666
8.666666667,1.948397807
10,2.481784605
3,3.550123672
5.333333333,3.096103909
8.333333333,3.00340248
8.333333333,3.042714358
6.666666667,1.984526225
6.666666667,1.945962932
9,2.458335603
9,2.653009925
8,1.706457447
8,2.019123459
8,3.135507626
8,3.178323241
8.333333333,2.732427709
8.333333333,2.880188109
6.666666667,2.069791872
6.666666667,2.000818225
8.666666667,2.664046998
8.666666667,2.860552919
7.333333333,1.615414552
7.333333333,1.828297235
10,2.551482483
3,3.831840136
5.333333333,3.198005236
10,3.721765734
10.66666667,3.694731361
10.66666667,3.705253186
11.33333333,4.292272534
6,1.78458133
7,1.322552169
7,4.02485606
7,1.382594223
7,1.640166843
7.666666667,1.499100988
7.666666667,1.754005939
8.333333333,2.019567821
8.333333333,2.548206368
7.333333333,1.352806738
7.333333333,1.66089457
7.666666667,1.434349323
7.666666667,2.035356002
5.666666667,1.003657608
4.333333333,1.731847845
4.333333333,1.507637743
7,0.771900972
5,1.700424547
5.666666667,1.583404712
7,3.815831543
7,3.90022901
7,1.278900347
7,1.55654109
7,1.397030951
7,1.714111738
7,0.47454599
5,1.720586278
7,0.87177369
6,1.086538993
6,1.85220366
6.666666667,0.976904735
6.666666667,1.00163172
6.333333333,1.238554436
6.333333333,1.159011071
7,1.487741188
7,1.901685521
7,1.901166872
8.666666667,2.045594693
10.33333333,3.037202828
10.33333333,3.041640188
7,0.264096549
5,1.601955121
5.5,2.085213788
9,3.724234623
9,1.926347062
9,2.219680338
8.666666667,2.043513975
8.666666667,2.469502203
8.333333333,1.68369703
8.333333333,2.0694286
9,2.266590723
3,3.371693186
5,3.234257466
7.666666667,2.129892703
7.666666667,2.231490895
6.333333333,1.405067153
9,4.120875238
8.333333333,1.919199176
8.333333333,2.435198852
7.666666667,1.615436729
7.666666667,1.922671212
4,2.547715883
5.666666667,2.143409686
7.666666667,2.006232882
7.666666667,2.257450827
6.333333333,1.656796264
8,2.079235039
8,2.488121728
7,1.678945242
7,1.594762472
9,1.882638096
6,3.37708172
5,3.104905159
9,2.076354986
10.5,2.616461635
9,1.975080474
5.666666667,2.16309617
8,3.567144257
8,1.59930963
8,2.166237452
8,0.960501985
5.5,2.99716359
4.666666667,2.401315101
5,2.08451051
8,2.084632417
6,1.54887197
7.666666667,1.379298381
7.666666667,1.940487186
7.333333333,1.43425109
7.333333333,1.80701698
8,1.626479789
5.333333333,2.387174433
6,1.623112788
6.5,1.750108589
7.333333333,1.392553182
7.333333333,1.666718351
6.666666667,1.565675543
6.666666667,1.500473122
8,0.739325
4.666666667,2.16848348
8,1.244411007
8,1.447906307
5.333333333,2.360915856
6,2.827552313
3,4.55285514
3,1.560266056
3,1.980335128
3.666666667,1.553761447
3.666666667,1.522835301
4.333333333,0.859268562
4.333333333,1.030446399
7,0.42815371
3.333333333,1.604671905
3.333333333,1.799719431
3.666666667,0.920388188
3.666666667,1.494794242
3.666666667,1.564065038
4.333333333,0.807804216
4,1.632895009
4,1.390375455
5,0.859952929
5,0.996561287
3,1.259106242
3,1.138339808
3,1.255821284
3,1.838049115
3,2.239718257
6,2.853478775
7.5,1.458369492
3.333333333,1.678218834
3.333333333,1.818999377
3.666666667,1.311196722
3.666666667,1.445581774
5,4.260301334
5,0.752288639
5,0.439420039
5,1.801093334
7,1.197909881
5.666666667,1.733686927
4.666666667,1.070116651
4.666666667,0.967880216
4.333333333,1.225151605
4.333333333,1.053284641
5,1.226309178
5,1.212889612
5,0.336639513
5.333333333,1.09705524
5.333333333,0.850687044
5.666666667,1.015992936
5.666666667,0.858442289
4.333333333,0.849913697
3.666666667,1.614726376
3.666666667,1.660185441
5,2.289857
7.333333333,1.716493142
7.333333333,1.587503019
4.666666667,0.891511059
4.666666667,0.828190305
4.333333333,1.393364081
4.333333333,1.246594992
7,3.723349165
7,1.396295019
7,1.716465658
7,0.943558137
5,1.958010092
7,3.535656196
5,4.436308375
7,1.298531864
6,1.330921574
7,3.728585043
6,4.002725722
6,1.131058041
6.666666667,1.75149705
6.333333333,1.065566907
6.5,1.360349461
7,0.102673449
7,2.200823529
10.33333333,3.262812003
10.33333333,3.139105651
7,2.707871204
4,5.817229642
7,0.710603657
5,1.887943364
5.5,2.301337619
4,3.803851867
4,1.288465013
4,1.310324189
4.333333333,1.339113289
4.333333333,1.293342789
4.666666667,1.130512317
4.666666667,1.095834266
4.666666667,1.37337419
4.666666667,1.170262571
5.333333333,1.120758533
5.333333333,1.048611766
4,0.618295023
3.333333333,1.932741737
3.333333333,1.739788399
4,2.30631635
6.666666667,2.067588158
6.666666667,2.105341912
4,0.994543291
4,1.148158627
4,1.505128446
4,1.501768112
5,3.602374699
5,1.008863553
5,0.88328084
6,2.000757952
5.333333333,1.210932297
5.333333333,1.120788601
5.666666667,1.167087682
5.666666667,0.99020049
7.333333333,2.09504322
7.333333333,2.053697291
9.666666667,3.079789052
9.666666667,2.919433455
5,0.128615422
4.333333333,1.597564292
4.5,1.079685262
6,4.075780532
6,0.721671343
6,0.561387312
5,0.519909544
4,1.525936855
4,1.629989241
8,1.873073431
8,1.686820896
10,3.046307621
10,2.964481357
5.333333333,0.919152927
5.333333333,0.928066832
4.666666667,1.462330381
4.666666667,1.267105029
3,5.033120555
3,1.796520869
3,2.20871415
3,2.987824234
12,2.581273642
6,3.114266964
7.5,1.719532925
3.333333333,1.809722064
3.333333333,1.952957891
3.666666667,1.092251343
3.666666667,1.307547676
12,6.115356067
12,4.489099412
6.666666667,2.074771964
8,1.114628352
4,4.374206827
4,1.262184122
4,1.282841508
