Sublimation Energy,reaction energy (eV)
434.6666667,1.483848191
434.6666667,1.483848191
636,0.99134296
726,1.39548344
636,4.199358039
573,3.643132046
615,1.514018677
615,1.528085193
594,1.248992179
594,1.393060674
571.9,1.325873182
571.9,1.333238079
507.8,1.493112987
507.8,1.296989659
582.6,1.374438427
582.6,1.272320907
529.2,1.321130238
529.2,1.272667308
702.3333333,1.086712465
702.3333333,1.035228119
768.6666667,0.981514752
768.6666667,0.994858126
636,0.734244771
472.9333333,1.61145652
472.9333333,1.707825092
466.1166667,2.127712527
466.1166667,2.054952552
296.2333333,3.194221356
296.2333333,2.996337724
636,0.398795212
612.6666667,1.741775647
618.5,1.584946917
716.8,4.033442748
716.8,0.910632907
716.8,0.728154183
395.2,1.740227047
609.6,2.119377544
609.6,2.000661215
661,1.655165213
698.2,1.600243389
679.6,1.907694067
610.1,2.06219078
610.1,2.028585946
503.4,2.85980515
503.4,3.019686724
647.8666667,2.147865414
647.8666667,2.119152778
578.9333333,2.85338925
578.9333333,2.952963731
716.8,5.167315943
738,3.111116838
738,0.796065906
723.8666667,1.639546967
650.1,1.635388796
583.4,1.958980858
583.4,2.152878295
716.8,1.843052064
679.7666667,1.537922109
589.2,1.179115114
589.2,1.322039234
461.6,1.665420776
461.6,1.588600046
734.8666667,1.335982483
734.8666667,1.140747471
752.9333333,1.160411097
752.9333333,0.916639275
716.8,1.948953736
573,1.17924015
668.8666667,1.766363989
443.7,2.271318565
625.7666667,1.401297968
625.7666667,1.320359748
534.7333333,1.364074836
534.7333333,1.167453812
636.4666667,1.471319253
636.4666667,1.349348035
556.1333333,1.252336322
556.1333333,1.09162276
835,1.625276774
756.2,1.296708021
756.2,1.092159368
795.6,1.026734902
795.6,0.931442132
716.8,1.136454603
608.3333333,0.865816166
499.8666667,1.7197581
499.8666667,1.705689542
519.9833333,1.985552503
