Metal,D-Band Center,D-Band Width,D-Band Filling,Adsorption Site
Co2Ir2,-2.559830459,1.801819499,0.963998717,top|A
Co2Ir2,-2.282338369,3.355008389,0.867374186,top|B
Co2La2,-1.263184213,4.408372717,0.768801277,4fold|A_A_B_B
Co2La2,-1.495048215,2.123253149,0.951112922,bridge|A_A|A
Co2La2,-1.495048215,2.123253149,0.951112922,bridge|A_A|B
Co2La2,-1.269307248,4.407949422,0.769048364,bridge|A_B|A
Co2La2,-1.269607858,4.408113572,0.769129792,bridge|A_B|B
Co2La2,-0.771178067,7.124714851,0.381860692,bridge|B_B|A
Co2La2,-1.256767849,4.408542413,0.768457537,bridge|B_B|B
Co2La2,-1.357092923,3.661321676,0.842611082,hollow|A_A_A|FCC
Co2La2,-1.139133765,5.203960674,0.674725327,hollow|A_A_A|HCP
Co2La2,-1.35690921,3.66126177,0.842559234,hollow|A_A_B|FCC
Co2La2,-1.148650353,5.203573793,0.675188574,hollow|A_A_B|HCP
Co2La2,-1.139133765,5.203960674,0.674725327,hollow|A_B_B|FCC
Co2La2,-1.357092923,3.661321676,0.842611082,hollow|A_B_B|HCP
Co2La2,-1.504152404,2.123075873,0.951456152,top|A
Co2La2,-0.771574326,7.125297636,0.38192054,top|B
Co2Mn2,-1.98737839,2.722118652,0.967358652,4fold|A_A_B_B
Co2Mn2,-1.98922868,2.522466709,0.963188468,bridge|A_A|A
Co2Mn2,-1.98922868,2.522466709,0.963188468,bridge|A_A|B
Co2Mn2,-1.987212199,2.722319943,0.967346326,bridge|A_B|A
Co2Mn2,-1.987207013,2.7223264,0.967334382,bridge|A_B|B
Co2Mn2,-1.985579236,2.908582056,0.971536901,bridge|B_B|A
Co2Mn2,-1.987640168,2.7222593,0.967381918,bridge|B_B|B
Co2Mn2,-1.987977565,2.657270028,0.965962909,hollow|A_A_A|FCC
Co2Mn2,-1.986982196,2.785866529,0.968758634,hollow|A_A_A|HCP
Co2Mn2,-1.987977865,2.657207684,0.965970912,hollow|A_A_B|FCC
Co2Mn2,-1.986688978,2.785807668,0.968740236,hollow|A_A_B|HCP
Co2Mn2,-1.986982196,2.785866529,0.968758634,hollow|A_B_B|FCC
Co2Mn2,-1.987977565,2.657270028,0.965962909,hollow|A_B_B|HCP
Co2Mn2,-1.988777383,2.522557582,0.963153722,top|A
Co2Mn2,-1.985579659,2.90886548,0.971525767,top|B
Co2Ni2,-2.293565334,1.776359601,0.969943666,4fold|A_A_B_B
Co2Ni2,-2.649902732,1.690284024,0.975676844,bridge|A_A|A
Co2Ni2,-2.649902732,1.690284024,0.975676844,bridge|A_A|B
Co2Ni2,-2.293583976,1.776190847,0.969945573,bridge|A_B|A
Co2Ni2,-2.29360955,1.776187238,0.969946077,bridge|A_B|B
Co2Ni2,-1.935913186,1.788647034,0.964188024,bridge|B_B|A
Co2Ni2,-2.293526629,1.776328002,0.969939609,bridge|B_B|B
Co2Ni2,-2.412489627,1.756096383,0.971856753,hollow|A_A_A|FCC
Co2Ni2,-2.174481302,1.788487226,0.968024858,hollow|A_A_A|HCP
Co2Ni2,-2.412466723,1.756103972,0.971856427,hollow|A_A_B|FCC
Co2Ni2,-2.174531978,1.788327411,0.968029057,hollow|A_A_B|HCP
Co2Ni2,-2.174481302,1.788487226,0.968024858,hollow|A_B_B|FCC
Co2Ni2,-2.412489627,1.756096383,0.971856753,hollow|A_B_B|HCP
Co2Ni2,-2.649965297,1.690016988,0.975682018,top|A
Co2Ni2,-1.935949439,1.788631305,0.964189892,top|B
Co2Os2,-2.006261183,4.2242702,0.818739321,4fold|A_A_B_B
Co2Os2,-2.087621636,3.046969777,0.911019273,bridge|A_A|A
Co2Os2,-2.087621636,3.046969777,0.911019273,bridge|A_A|B
Co2Os2,-2.006562498,4.224499391,0.818774745,bridge|A_B|A
Co2Os2,-2.006514898,4.224521895,0.818764447,bridge|A_B|B
Co2Os2,-1.923113174,5.154637952,0.724512228,bridge|B_B|A
Co2Os2,-2.005976868,4.224282554,0.818738758,bridge|B_B|B
Co2Os2,-2.033577969,3.869516966,0.849709321,hollow|A_A_A|FCC
Co2Os2,-1.978513353,4.553558683,0.787529848,hollow|A_A_A|HCP
Co2Os2,-2.033606695,3.869484672,0.849715267,hollow|A_A_B|FCC
Co2Os2,-1.978854297,4.55351987,0.787545844,hollow|A_A_B|HCP
Co2Os2,-1.978513353,4.553558683,0.787529848,hollow|A_B_B|FCC
Co2Os2,-2.033577969,3.869516966,0.849709321,hollow|A_B_B|HCP
Co2Os2,-2.08818973,3.046937808,0.911054474,top|A
Co2Os2,-1.92307328,5.154782331,0.724496913,top|B
Co2Pd2,-2.579797378,1.95673637,0.975694091,4fold|A_A_B_B
Co2Pd2,-2.674138597,1.429191021,0.983799545,bridge|A_A|A
Co2Pd2,-2.674138597,1.429191021,0.983799545,bridge|A_A|B
Co2Pd2,-2.579936325,1.956811215,0.975694282,bridge|A_B|A
Co2Pd2,-2.579937967,1.956806831,0.975694574,bridge|A_B|B
Co2Pd2,-2.485074367,2.367559478,0.967550431,bridge|B_B|A
Co2Pd2,-2.579746432,1.956741519,0.975694446,bridge|B_B|B
Co2Pd2,-2.61133023,1.798494695,0.978401092,hollow|A_A_A|FCC
Co2Pd2,-2.548238459,2.102822819,0.972983641,hollow|A_A_A|HCP
Co2Pd2,-2.611329771,1.79849735,0.978400888,hollow|A_A_B|FCC
Co2Pd2,-2.548366,2.102912856,0.972983656,hollow|A_A_B|HCP
Co2Pd2,-2.548238459,2.102822819,0.972983641,hollow|A_B_B|FCC
Co2Pd2,-2.61133023,1.798494695,0.978401092,hollow|A_B_B|HCP
Co2Pd2,-2.674315399,1.429190122,0.983799503,top|A
Co2Pd2,-2.485082046,2.367567507,0.967550675,top|B
Co2Pt2,-2.743229158,2.425541603,0.96847009,4fold|A_A_B_B
Co2Pt2,-2.727711465,1.604196045,0.980997952,bridge|A_A|A
Co2Pt2,-2.727711465,1.604196045,0.980997952,bridge|A_A|B
Co2Pt2,-2.743351445,2.425705417,0.968472525,bridge|A_B|A
Co2Pt2,-2.743367968,2.42567804,0.968474465,bridge|A_B|B
Co2Pt2,-2.758866852,3.036706714,0.955834945,bridge|B_B|A
Co2Pt2,-2.743054406,2.425488223,0.968467019,bridge|B_B|B
Co2Pt2,-2.738054826,2.185558121,0.972659095,hollow|A_A_A|FCC
Co2Pt2,-2.748320646,2.644356255,0.964269811,hollow|A_A_A|HCP
Co2Pt2,-2.738044496,2.185579787,0.972657731,hollow|A_A_B|FCC
Co2Pt2,-2.74851513,2.644479973,0.964273249,hollow|A_A_B|HCP
Co2Pt2,-2.748320646,2.644356255,0.964269811,hollow|A_B_B|FCC
Co2Pt2,-2.738054826,2.185558121,0.972659095,hollow|A_B_B|HCP
Co2Pt2,-2.727999697,1.604173628,0.98100432,top|A
Co2Pt2,-2.758874007,3.036615718,0.955837857,top|B
Co2Re2,-1.460319243,4.584062899,0.736874397,4fold|A_A_B_B
Co2Re2,-1.413714872,3.012324391,0.828968209,bridge|A_A|A
Co2Re2,-1.413714872,3.012324391,0.828968209,bridge|A_A|B
Co2Re2,-1.451633902,4.584511573,0.735377362,bridge|A_B|A
Co2Re2,-1.451501456,4.584469462,0.735357181,bridge|A_B|B
Co2Re2,-1.508993883,5.78769387,0.640562747,bridge|B_B|A
Co2Re2,-1.469112919,4.583476749,0.73838753,bridge|B_B|B
Co2Re2,-1.444487103,4.120149344,0.768013972,hollow|A_A_A|FCC
Co2Re2,-1.482119191,5.010641353,0.706263143,hollow|A_A_A|HCP
Co2Re2,-1.444572861,4.120178547,0.76802664,hollow|A_A_B|FCC
Co2Re2,-1.470427976,5.011874798,0.704225055,hollow|A_A_B|HCP
Co2Re2,-1.482119191,5.010641353,0.706263143,hollow|A_B_B|FCC
Co2Re2,-1.444487103,4.120149344,0.768013972,hollow|A_B_B|HCP
Co2Re2,-1.396565554,3.013156727,0.826024341,top|A
Co2Re2,-1.508827119,5.787190325,0.640555657,top|B
Co2Rh2,-2.370140239,2.859991078,0.957853168,4fold|A_A_B_B
Co2Rh2,-2.703371689,2.41418308,0.983098668,bridge|A_A|A
Co2Rh2,-2.703371689,2.41418308,0.983098668,bridge|A_A|B
Co2Rh2,-2.369807267,2.859903298,0.957850743,bridge|A_B|A
Co2Rh2,-2.369816749,2.859913841,0.957851228,bridge|A_B|B
Co2Rh2,-2.033165736,3.214211383,0.932331799,bridge|B_B|A
Co2Rh2,-2.370413431,2.860021797,0.95786053,bridge|B_B|B
Co2Rh2,-2.481646859,2.723529105,0.966300322,hollow|A_A_A|FCC
Co2Rh2,-2.258436498,2.986581886,0.949379031,hollow|A_A_A|HCP
Co2Rh2,-2.481642357,2.72350885,0.966300138,hollow|A_A_B|FCC
Co2Rh2,-2.258030082,2.986479503,0.949373563,hollow|A_A_B|HCP
Co2Rh2,-2.258436498,2.986581886,0.949379031,hollow|A_B_B|FCC
Co2Rh2,-2.481646859,2.723529105,0.966300322,hollow|A_B_B|HCP
Co2Rh2,-2.702784695,2.414122681,0.983093284,top|A
Co2Rh2,-2.033203005,3.214226426,0.932329907,top|B
Co2Ru2,-2.014449659,3.474920854,0.852353368,4fold|A_A_B_B
Co2Ru2,-2.334568107,2.741819769,0.941438409,bridge|A_A|A
Co2Ru2,-2.334568107,2.741819769,0.941438409,bridge|A_A|B
Co2Ru2,-2.014212339,3.474929309,0.852334575,bridge|A_B|A
Co2Ru2,-2.014292415,3.474896355,0.852349502,bridge|A_B|B
Co2Ru2,-1.688783149,4.061896454,0.76174223,bridge|B_B|A
Co2Ru2,-2.014484271,3.474829057,0.852349693,bridge|B_B|B
Co2Ru2,-2.121824067,3.251178214,0.882224894,hollow|A_A_A|FCC
Co2Ru2,-1.906649236,3.683135574,0.822334397,hollow|A_A_A|HCP
Co2Ru2,-2.121760613,3.251218166,0.882212325,hollow|A_A_B|FCC
Co2Ru2,-1.906444496,3.683029931,0.82232463,hollow|A_A_B|HCP
Co2Ru2,-1.906649236,3.683135574,0.822334397,hollow|A_B_B|FCC
Co2Ru2,-2.121824067,3.251178214,0.882224894,hollow|A_B_B|HCP
Co2Ru2,-2.334267743,2.741784785,0.941422418,top|A
Co2Ru2,-1.688930516,4.061995291,0.761758867,top|B
Co2Sc2,-0.801731343,4.000986696,0.682306494,4fold|A_A_B_B
Co2Sc2,-1.403997136,1.706695804,0.932751733,bridge|A_A|A
Co2Sc2,-1.403997136,1.706695804,0.932751733,bridge|A_A|B
Co2Sc2,-0.802108845,4.001400114,0.682257849,bridge|A_B|A
Co2Sc2,-0.803185238,4.001700993,0.682507545,bridge|A_B|B
Co2Sc2,0.219552546,6.046945684,0.257580727,bridge|B_B|A
Co2Sc2,-0.800412742,4.001451885,0.682125007,bridge|B_B|B
Co2Sc2,-1.034616958,3.321909091,0.779107847,hollow|A_A_A|FCC
Co2Sc2,-0.524793091,4.666746938,0.567336068,hollow|A_A_A|HCP
Co2Sc2,-1.033909697,3.321902733,0.778933549,hollow|A_A_B|FCC
Co2Sc2,-0.526043619,4.666797097,0.56743514,hollow|A_A_B|HCP
Co2Sc2,-0.524793091,4.666746938,0.567336068,hollow|A_B_B|FCC
Co2Sc2,-1.034616958,3.321909091,0.779107847,hollow|A_B_B|HCP
