adsorbate,surface,reaction energy (eV),site,S. designation
O,Co6Zn6,0.564899757,hollow|A_B_B|FCC,L1_o
O,Co6Zr6,0.59128582,top|A,L1_o
O,Co6Zr6,-0.480626782,top|B,L1_o
O,Co6Zr6,-2.309373413,bridge|B_B|A,L1_o
O,Co6Zr6,-1.87085203,4fold|A_A_B_B,L1_o
O,Cr6Cu6,-1.525893725,bridge|A_A|B,L1_o
O,Cr6Cu6,-1.646489136,hollow|A_A_B|HCP,L1_o
O,Cr6Cu6,-1.54056311,hollow|A_A_B|FCC,L1_o
O,Cr6Cu6,-0.68120475,hollow|A_B_B|FCC,L1_o
O,Cr6Cu6,-0.575949348,hollow-tilt|A_B_B|HCP,L1_o
O,Cr6Fe6,-1.64291805,hollow|A_A_B|HCP,L1_o
O,Cr6Fe6,-1.61504162,hollow|A_A_B|FCC,L1_o
O,Cr6Fe6,-1.329592978,hollow|A_B_B|HCP,L1_o
O,Cr6Fe6,-1.24770889,hollow|A_B_B|FCC,L1_o
O,Cr6Hf6,0.03303394,top|B,L1_o
O,Cr6Hf6,0.03303394,top|B,L1_o
O,Cr6Hf6,0.03303394,top|B,L1_o
O,Cr6Hf6,-2.606100084,bridge|A_A|B,L1_o
O,Cr6Hf6,-2.606100084,bridge|A_A|B,L1_o
O,Cr6Hf6,-2.606100084,bridge|A_A|B,L1_o
O,Cr6Hf6,-2.612294756,hollow|A_A_B|HCP,L1_o
O,Cr6Hf6,-2.612294756,hollow|A_A_B|HCP,L1_o
O,Cr6Hf6,-2.612294756,hollow|A_A_B|HCP,L1_o
O,Cr6Hf6,-2.791306205,hollow|A_B_B|FCC,L1_o
O,Cr6Hf6,-2.791306205,hollow|A_B_B|FCC,L1_o
O,Cr6Hf6,-2.791306205,hollow|A_B_B|FCC,L1_o
O,Cr6Ir6,-0.423890366,top|A,L1_o
O,Cr6Ir6,-1.190340082,hollow|A_A_B|HCP,L1_o
O,Cr6Ir6,-0.985268699,hollow|A_A_B|FCC,L1_o
O,Cr6Ir6,-0.322337618,hollow|A_B_B|HCP,L1_o
O,Cr6La6,-1.822255764,top|A,L1_o
O,Cr6La6,0.522878442,top|B,L1_o
O,Cr6La6,-2.456827412,bridge|A_A|B,L1_o
O,Cr6La6,-1.345951782,bridge|B_B|A,L1_o
O,Cr6Mn6,-2.056962521,top|A,L1_o
O,Cr6Mn6,-1.431215116,top|B,L1_o
O,Cr6Mn6,-3.061667359,bridge|A_A|B,L1_o
O,Cr6Mn6,-2.991351918,bridge|B_B|A,L1_o
O,Cr6Mn6,-3.305360404,hollow|A_A_B|HCP,L1_o
O,Cr6Mn6,-3.305107202,hollow|A_A_B|FCC,L1_o
O,Cr6Mn6,-3.093569849,hollow|A_B_B|HCP,L1_o
O,Cr6Mo6,-0.916730434,top|B,L1_o
O,Cr6Mo6,-1.368334506,bridge|B_B|A,L1_o
O,Cr6Mo6,-2.015531692,hollow|A_B_B|HCP,L1_o
O,Cr6Mo6,-2.083079735,hollow|A_B_B|FCC,L1_o
O,Cr6Nb6,-0.79540603,top|A,L1_o
O,Cr6Nb6,-0.385641773,top|B,L1_o
O,Cr6Nb6,-2.298573895,bridge|A_A|B,L1_o
O,Cr6Nb6,-2.150417026,bridge|B_B|A,L1_o
O,Cr6Nb6,-2.430560808,hollow|A_B_B|FCC,L1_o
O,Cr6Os6,-0.364807785,top|A,L1_o
O,Cr6Os6,0.24683215,top|B,L1_o
O,Cr6Os6,-1.420761046,hollow|A_A_B|HCP,L1_o
O,Cr6Os6,-1.145181022,hollow|A_A_B|FCC,L1_o
O,Cr6Os6,-1.044909385,hollow|A_B_B|HCP,L1_o
O,Cr6Os6,-0.683363293,hollow|A_B_B|FCC,L1_o
O,Cr6Pd6,-0.796872315,top|A,L1_o
O,Cr6Pd6,-1.595836097,hollow|A_A_B|HCP,L1_o
O,Cr6Pt6,-0.591697936,top|A,L1_o
O,Cr6Pt6,-1.173692702,hollow|A_A_B|HCP,L1_o
O,Cr6Re6,-0.512142054,top|A,L1_o
O,Cr6Re6,-0.654212826,top|B,L1_o
O,Cr6Re6,-1.297368849,bridge|A_A|B,L1_o
O,Cr6Re6,-1.009421387,bridge|B_B|A,L1_o
O,Cr6Re6,-0.96355347,bridge|A_B|B,L1_o
O,Cr6Re6,-1.451145006,hollow|A_A_B|HCP,L1_o
O,Cr6Re6,-1.375472868,hollow|A_B_B|FCC,L1_o
O,Cr6Rh6,-0.664937376,top|A,L1_o
O,Cr6Rh6,-1.509075185,hollow|A_A_B|HCP,L1_o
O,Cr6Rh6,-0.614522301,hollow|A_B_B|HCP,L1_o
O,Cr6Ru6,-0.575392603,top|A,L1_o
O,Cr6Ru6,0.626013124,top|B,L1_o
O,Cr6Ru6,-1.612677767,hollow|A_A_B|HCP,L1_o
O,Cr6Ru6,-1.360659807,hollow|A_A_B|FCC,L1_o
O,Cr6Ru6,-1.111941228,hollow|A_B_B|HCP,L1_o
O,Cr6Ru6,-0.826206867,hollow|A_B_B|FCC,L1_o
O,Cr6Sc6,-2.633048742,hollow|A_A_B|FCC,L1_o
O,Cr6Sc6,-2.769421994,hollow|A_B_B|HCP,L1_o
O,Cr6Ta6,-0.65867835,top|A,L1_o
O,Cr6Ta6,-0.456301846,top|B,L1_o
O,Cr6Ta6,-2.287007152,bridge|A_A|B,L1_o
O,Cr6Ta6,-2.28697858,bridge|B_B|A,L1_o
O,Cr6Ta6,-2.552319913,hollow|A_B_B|HCP,L1_o
O,Cr6Tc6,-0.688173585,top|A,L1_o
O,Cr6Tc6,-0.158555291,top|B,L1_o
O,Cr6Tc6,-1.556635786,bridge|A_A|B,L1_o
O,Cr6Tc6,-0.888095894,bridge|B_B|A,L1_o
O,Cr6Tc6,-1.61738969,hollow|A_A_B|HCP,L1_o
O,Cr6Tc6,-1.360732462,hollow|A_B_B|FCC,L1_o
O,Cr6Ti6,-2.672127555,bridge|A_A|B,L1_o
O,Cr6Ti6,-2.458966635,bridge|B_B|A,L1_o
O,Cr6Ti6,-2.656476383,hollow|A_A_B|HCP,L1_o
O,Cr6Ti6,-2.670056496,hollow|A_B_B|HCP,L1_o
O,Cr6V6,-1.67121163,bridge|A_A|B,L1_o
O,Cr6V6,-2.442553681,hollow|A_A_B|HCP,L1_o
O,Cr6V6,-2.414266495,hollow|A_A_B|FCC,L1_o
O,Cr6V6,-2.427348368,hollow|A_B_B|HCP,L1_o
O,Cr6V6,-2.456077058,hollow|A_B_B|FCC,L1_o
O,Cr6W6,-0.322297073,top|A,L1_o
O,Cr6W6,-0.817735011,top|B,L1_o
O,Cr6W6,-1.682775924,bridge|A_A|B,L1_o
